99 50
-1.0846752e+01 2.8445711e+00 0.0000000e+00
-1.1721322e+01 3.0739290e+00 0.0000000e+00
-1.2610743e+01 3.3071813e+00 0.0000000e+00
-1.3580381e+01 3.5614707e+00 0.0000000e+00
-1.4648062e+01 3.8414721e+00 0.0000000e+00
-1.5715743e+01 4.1214735e+00 0.0000000e+00
-4.7452787e-01 1.5755411e-01 0.0000000e+00
-5.0570101e-01 1.6790566e-01 0.0000000e+00
-5.3687414e-01 1.7825721e-01 0.0000000e+00
-5.7154861e-01 1.8977143e-01 0.0000000e+00
-6.0908780e-01 2.0223694e-01 0.0000000e+00
-6.4757012e-01 2.1501562e-01 0.0000000e+00
-6.9454063e-01 2.3061295e-01 0.0000000e+00
-7.4151114e-01 2.4621028e-01 0.0000000e+00
-7.9423702e-01 2.6371877e-01 0.0000000e+00
-8.5006195e-01 2.8225635e-01 0.0000000e+00
-9.0820267e-01 3.0156293e-01 0.0000000e+00
-9.7560655e-01 3.2394549e-01 0.0000000e+00
-1.0430104e+00 3.4632806e-01 0.0000000e+00
-1.1200640e+00 3.7191495e-01 0.0000000e+00
-1.2003341e+00 3.9856996e-01 0.0000000e+00
-1.2855905e+00 4.2688076e-01 0.0000000e+00
-1.3824817e+00 4.5905505e-01 0.0000000e+00
-1.4793728e+00 4.9122935e-01 0.0000000e+00
-1.5926519e+00 5.2884552e-01 0.0000000e+00
-1.7088230e+00 5.6742202e-01 0.0000000e+00
-1.8344725e+00 6.0914599e-01 0.0000000e+00
-1.9743396e+00 6.5559115e-01 0.0000000e+00
-2.1142067e+00 7.0203632e-01 0.0000000e+00
-2.2809778e+00 7.5741542e-01 0.0000000e+00
-2.4491650e+00 8.1326472e-01 0.0000000e+00
-2.6343117e+00 8.7474570e-01 0.0000000e+00
-2.8364179e+00 9.4185837e-01 0.0000000e+00
-3.0405698e+00 1.0096504e+00 0.0000000e+00
-3.2835914e+00 1.0903497e+00 0.0000000e+00
-3.5266131e+00 1.1710490e+00 0.0000000e+00
-3.7990124e+00 1.2615037e+00 0.0000000e+00
-4.0909970e+00 1.3584619e+00 0.0000000e+00
-4.3917841e+00 1.4583432e+00 0.0000000e+00
-4.7424525e+00 1.5747884e+00 0.0000000e+00
-5.0931209e+00 1.6912336e+00 0.0000000e+00
-5.4931421e+00 1.8240672e+00 0.0000000e+00
-5.9143145e+00 1.9639244e+00 0.0000000e+00
-6.3566196e+00 2.1107990e+00 0.0000000e+00
-6.8623229e+00 2.2787261e+00 0.0000000e+00
-7.3680262e+00 2.4466532e+00 0.0000000e+00
-7.9548458e+00 2.6415162e+00 0.0000000e+00
-8.5619446e+00 2.8431133e+00 0.0000000e+00
-9.2116731e+00 3.0588663e+00 0.0000000e+00
-9.9405714e+00 3.3009090e+00 0.0000000e+00
-1.0669470e+01 3.5429516e+00 0.0000000e+00
-1.1529849e+01 3.8286546e+00 0.0000000e+00
-1.2404837e+01 4.1192087e+00 0.0000000e+00
-1.3358741e+01 4.4359680e+00 0.0000000e+00
-1.4409096e+01 4.7847559e+00 0.0000000e+00
-1.5459452e+01 5.1335438e+00 0.0000000e+00
-4.6345838e-01 1.8763350e-01 0.0000000e+00
-4.9383568e-01 1.9992981e-01 0.0000000e+00
-5.2421298e-01 2.1222611e-01 0.0000000e+00
-5.5800223e-01 2.2590352e-01 0.0000000e+00
-5.9458306e-01 2.4071093e-01 0.0000000e+00
-6.3208295e-01 2.5589036e-01 0.0000000e+00
-6.7785433e-01 2.7441797e-01 0.0000000e+00
-7.2362571e-01 2.9294558e-01 0.0000000e+00
-7.7500552e-01 3.1374341e-01 0.0000000e+00
-8.2940527e-01 3.3576366e-01 0.0000000e+00
-8.8606169e-01 3.5869739e-01 0.0000000e+00
-9.5174479e-01 3.8528498e-01 0.0000000e+00
-1.0174279e+00 4.1187258e-01 0.0000000e+00
-1.0925143e+00 4.4226651e-01 0.0000000e+00
-1.1707352e+00 4.7392922e-01 0.0000000e+00
-1.2538151e+00 5.0755878e-01 0.0000000e+00
-1.3482326e+00 5.4577769e-01 0.0000000e+00
-1.4426502e+00 5.8399660e-01 0.0000000e+00
-1.5530373e+00 6.2867975e-01 0.0000000e+00
-1.6662426e+00 6.7450366e-01 0.0000000e+00
-1.7886843e+00 7.2406634e-01 0.0000000e+00
-1.9249807e+00 7.7923720e-01 0.0000000e+00
-2.0612771e+00 8.3440806e-01 0.0000000e+00
-2.2237907e+00 9.0019128e-01 0.0000000e+00
-2.3876841e+00 9.6653304e-01 0.0000000e+00
-2.5681041e+00 1.0395645e+00 0.0000000e+00
-2.7650506e+00 1.1192857e+00 0.0000000e+00
-2.9639907e+00 1.1998138e+00 0.0000000e+00
-3.2008081e+00 1.2956742e+00 0.0000000e+00
-3.4376255e+00 1.3915346e+00 0.0000000e+00
-3.7030707e+00 1.4989830e+00 0.0000000e+00
-3.9876010e+00 1.6141569e+00 0.0000000e+00
-4.2807092e+00 1.7328030e+00 0.0000000e+00
-4.6224252e+00 1.8711248e+00 0.0000000e+00
-4.9641412e+00 2.0094467e+00 0.0000000e+00
-5.3539501e+00 2.1672358e+00 0.0000000e+00
-5.7643702e+00 2.3333681e+00 0.0000000e+00
-6.1953835e+00 2.5078363e+00 0.0000000e+00
-6.6881765e+00 2.7073119e+00 0.0000000e+00
-7.1809695e+00 2.9067876e+00 0.0000000e+00
-7.7528079e+00 3.1382598e+00 0.0000000e+00
-8.3444078e+00 3.3777311e+00 0.0000000e+00
-8.9775491e+00 3.6340178e+00 0.0000000e+00
-9.6878390e+00 3.9215332e+00 0.0000000e+00
-1.0398129e+01 4.2090486e+00 0.0000000e+00
-1.1236543e+01 4.5484268e+00 0.0000000e+00
-1.2089193e+01 4.8935676e+00 0.0000000e+00
-1.3018744e+01 5.2698368e+00 0.0000000e+00
-1.4042285e+01 5.6841518e+00 0.0000000e+00
-1.5065826e+01 6.0984667e+00 0.0000000e+00
-4.5048443e-01 2.1694187e-01 0.0000000e+00
-4.8001630e-01 2.3116614e-01 0.0000000e+00
-5.0954816e-01 2.4539042e-01 0.0000000e+00
-5.4239700e-01 2.6121234e-01 0.0000000e+00
-5.7795974e-01 2.7834144e-01 0.0000000e+00
-6.1441596e-01 2.9590089e-01 0.0000000e+00
-6.5891346e-01 3.1733349e-01 0.0000000e+00
-7.0341097e-01 3.3876609e-01 0.0000000e+00
-7.5336082e-01 3.6282487e-01 0.0000000e+00
-8.0624655e-01 3.8829773e-01 0.0000000e+00
-8.6132615e-01 4.1482729e-01 0.0000000e+00
-9.2518120e-01 4.4558362e-01 0.0000000e+00
-9.8903626e-01 4.7633996e-01 0.0000000e+00
-1.0620329e+00 5.1149943e-01 0.0000000e+00
-1.1380768e+00 5.4812661e-01 0.0000000e+00
-1.2188445e+00 5.8702904e-01 0.0000000e+00
-1.3106343e+00 6.3124039e-01 0.0000000e+00
-1.4024241e+00 6.7545174e-01 0.0000000e+00
-1.5097390e+00 7.2714087e-01 0.0000000e+00
-1.6197936e+00 7.8014962e-01 0.0000000e+00
-1.7388276e+00 8.3748337e-01 0.0000000e+00
-1.8713307e+00 9.0130461e-01 0.0000000e+00
-2.0038338e+00 9.6512585e-01 0.0000000e+00
-2.1618244e+00 1.0412234e+00 0.0000000e+00
-2.3211565e+00 1.1179670e+00 0.0000000e+00
-2.4965551e+00 1.2024493e+00 0.0000000e+00
-2.6880204e+00 1.2946702e+00 0.0000000e+00
-2.8814237e+00 1.3878245e+00 0.0000000e+00
-3.1116501e+00 1.4987151e+00 0.0000000e+00
-3.3418766e+00 1.6096056e+00 0.0000000e+00
-3.5999341e+00 1.7339012e+00 0.0000000e+00
-3.8765456e+00 1.8671335e+00 0.0000000e+00
-4.1614962e+00 2.0043824e+00 0.0000000e+00
-4.4937018e+00 2.1643921e+00 0.0000000e+00
-4.8259074e+00 2.3244017e+00 0.0000000e+00
-5.2048674e+00 2.5069310e+00 0.0000000e+00
-5.6038650e+00 2.6991116e+00 0.0000000e+00
-6.0228827e+00 2.9009351e+00 0.0000000e+00
-6.5019606e+00 3.1316870e+00 0.0000000e+00
-6.9810385e+00 3.3624390e+00 0.0000000e+00
-7.5369619e+00 3.6302043e+00 0.0000000e+00
-8.1120967e+00 3.9072229e+00 0.0000000e+00
-8.7276170e+00 4.2036935e+00 0.0000000e+00
-9.4181386e+00 4.5362891e+00 0.0000000e+00
-1.0108660e+01 4.8688847e+00 0.0000000e+00
-1.0923740e+01 5.2614750e+00 0.0000000e+00
-1.1752660e+01 5.6607313e+00 0.0000000e+00
-1.2656340e+01 6.0959966e+00 0.0000000e+00
-1.3651395e+01 6.5752731e+00 0.0000000e+00
-1.4646449e+01 7.0545495e+00 0.0000000e+00
-4.3565935e-01 2.4535878e-01 0.0000000e+00
-4.6426661e-01 2.6146795e-01 0.0000000e+00
-4.9287386e-01 2.7757711e-01 0.0000000e+00
-5.2469425e-01 2.9549565e-01 0.0000000e+00
-5.5914356e-01 3.1489457e-01 0.0000000e+00
-5.9445838e-01 3.3478086e-01 0.0000000e+00
-6.3756272e-01 3.5905356e-01 0.0000000e+00
-6.8066706e-01 3.8332625e-01 0.0000000e+00
-7.2905304e-01 4.1057311e-01 0.0000000e+00
-7.8028298e-01 4.3942145e-01 0.0000000e+00
